protein1 protein2 experimental database textmining combined_score
362663.ECP_0020 362663.ECP_0021 0 0 574 574
362663.ECP_0021 362663.ECP_0020 0 0 574 574
362663.ECP_0021 362663.ECP_0896 199 0 0 199
362663.ECP_0021 362663.ECP_4417 0 0 154 153
362663.ECP_0022 362663.ECP_3391 988 910 0 998
362663.ECP_0022 362663.ECP_3407 967 0 0 967
362663.ECP_0022 362663.ECP_4193 358 0 0 358
362663.ECP_0022 362663.ECP_3388 376 0 0 376
362663.ECP_0022 362663.ECP_0834 257 0 0 256
362663.ECP_0022 362663.ECP_3382 967 0 0 967
362663.ECP_0022 362663.ECP_0265 309 0 0 309
362663.ECP_0022 362663.ECP_4196 967 0 0 967
362663.ECP_0022 362663.ECP_3272 967 0 0 967
362663.ECP_0022 362663.ECP_3396 967 0 0 967
362663.ECP_0022 362663.ECP_3386 988 910 0 998
362663.ECP_0022 362663.ECP_3389 967 0 0 967
362663.ECP_0022 362663.ECP_0360 774 0 0 774
362663.ECP_0022 362663.ECP_0711 199 0 0 199
362663.ECP_0022 362663.ECP_2599 774 889 0 973
362663.ECP_0022 362663.ECP_2884 376 0 0 376
362663.ECP_0022 362663.ECP_3257 376 0 0 376
362663.ECP_0022 362663.ECP_1259 849 0 0 849
362663.ECP_0022 362663.ECP_1081 967 0 0 967
362663.ECP_0022 362663.ECP_3392 967 0 0 967
362663.ECP_0022 362663.ECP_4447 988 910 0 998
362663.ECP_0022 362663.ECP_4201 376 0 0 376
362663.ECP_0022 362663.ECP_3379 376 0 0 376
362663.ECP_0022 362663.ECP_3400 955 0 0 955
362663.ECP_0022 362663.ECP_2226 967 0 0 967
362663.ECP_0022 362663.ECP_3385 988 910 0 998
362663.ECP_0022 362663.ECP_4448 967 0 0 967
362663.ECP_0022 362663.ECP_4445 988 910 0 998
362663.ECP_0022 362663.ECP_1664 967 0 0 967
362663.ECP_0022 362663.ECP_3401 967 0 0 967
362663.ECP_0022 362663.ECP_4198 955 0 0 955
362663.ECP_0022 362663.ECP_2607 967 0 0 967
362663.ECP_0022 362663.ECP_3403 967 0 0 967
362663.ECP_0022 362663.ECP_4200 379 0 0 379
362663.ECP_0022 362663.ECP_3409 988 910 0 998
362663.ECP_0022 362663.ECP_3394 988 910 0 998
362663.ECP_0022 362663.ECP_4777 257 0 0 256
362663.ECP_0022 362663.ECP_3748 358 0 0 358
362663.ECP_0022 362663.ECP_1663 967 0 0 967
362663.ECP_0022 362663.ECP_0898 294 0 0 294
362663.ECP_0022 362663.ECP_3735 967 0 0 967
