protein1 protein2 experimental database textmining combined_score
1034809.SLUG_00160 1034809.SLUG_21110 227 0 0 226
1034809.SLUG_00160 1034809.SLUG_23520 225 0 0 224
1034809.SLUG_00160 1034809.SLUG_14030 156 0 0 155
1034809.SLUG_00160 1034809.SLUG_06960 262 0 0 262
1034809.SLUG_00160 1034809.SLUG_17970 214 0 0 214
1034809.SLUG_00160 1034809.SLUG_01310 231 0 0 230
1034809.SLUG_00160 1034809.SLUG_10570 262 0 0 262
1034809.SLUG_00160 1034809.SLUG_02720 231 0 0 230
1034809.SLUG_00160 1034809.SLUG_02900 231 0 0 230
1034809.SLUG_00160 1034809.SLUG_12830 258 0 386 524
1034809.SLUG_00160 1034809.SLUG_20230 212 0 0 212
1034809.SLUG_00160 1034809.SLUG_16970 154 0 0 153
1034809.SLUG_00160 1034809.SLUG_13300 154 0 0 153
1034809.SLUG_00160 1034809.SLUG_05090 247 0 0 246
1034809.SLUG_00160 1034809.SLUG_11920 186 0 0 186
1034809.SLUG_00160 1034809.SLUG_16370 154 0 0 153
1034809.SLUG_00160 1034809.SLUG_12050 260 0 0 260
1034809.SLUG_00170 1034809.SLUG_12520 144 0 111 206
1034809.SLUG_00170 1034809.SLUG_00850 225 0 52 233
1034809.SLUG_00170 1034809.SLUG_01360 143 0 53 153
1034809.SLUG_00170 1034809.SLUG_00460 225 0 52 233
1034809.SLUG_00170 1034809.SLUG_05350 225 0 52 233
1034809.SLUG_00170 1034809.SLUG_15050 219 0 70 242
1034809.SLUG_00170 1034809.SLUG_22980 0 0 155 154
1034809.SLUG_00170 1034809.SLUG_24090 225 0 52 233
1034809.SLUG_00170 1034809.SLUG_10840 109 0 264 316
1034809.SLUG_00170 1034809.SLUG_13500 162 0 118 229
1034809.SLUG_00170 1034809.SLUG_21920 143 0 53 153
1034809.SLUG_00170 1034809.SLUG_06010 230 0 0 229
1034809.SLUG_00170 1034809.SLUG_11180 279 0 0 279
1034809.SLUG_00170 1034809.SLUG_03390 225 0 52 233
1034809.SLUG_00170 1034809.SLUG_13290 156 0 0 155
1034809.SLUG_00170 1034809.SLUG_16840 154 0 0 153
1034809.SLUG_00170 1034809.SLUG_00180 219 0 665 727
1034809.SLUG_00170 1034809.SLUG_20540 144 0 97 193
1034809.SLUG_00170 1034809.SLUG_14190 219 0 202 350
